,Condition,Formula,Translation
0,GGC,"∀ z ( Cube ( z ) → ( FrontOf ( z , b ) ∨ BackOf ( z , a ) ) )",every cube is in front of b or in back of a
1,GGC,"∀ y ∀ x ( ( Tet ( y ) ∧ Cube ( x ) ) → LeftOf ( x , y ) )","for all y , for all x , if y is a tetrahedron and x is a cube , then x is to the left of y"
2,GGC,"¬ ∀ z ( Tet ( z ) → ∀ u ( Tet ( u ) → SameCol ( z , u ) ) )",it is not the case that every tetrahedron is in the same column as every tetrahedron
3,GGC,"¬ Large ( a ) ∧ ¬ Large ( e ) ∧ Smaller ( c , a ) ∧ Smaller ( c , e )","a is not large , e is not large , c is smaller than a and c is smaller than e"
4,GGC,"∀ x ( ∃ y ∃ z ( Cube ( y ) ∧ BackOf ( x , y ) ∧ FrontOf ( x , z ) ∧ Cube ( z ) ) → ¬ Large ( x ) )","for all x , if there is an element y such that there is an element z such that y is a cube , x is in back of y , x is in front of z and z is a cube , then x is not large"
5,GGC,"∃ x ( Large ( x ) ∧ Large ( x ) ∧ Cube ( x ) ∧ RightOf ( b , x ) )","there is an element x such that x is large , x is large , x is a cube and b is to the right of x"
6,GGC,"∀ x ( ∃ y ( LeftOf ( x , y ) ∧ Cube ( y ) ∧ Dodec ( x ) ) → Large ( x ) )","for all x , if there is an element y such that x is to the left of y , y is a cube and x is a dodecahedron , then x is large"
7,GGC,"∀ x ( ( Cube ( x ) ∧ ∃ y BackOf ( x , y ) ) → Small ( x ) )","for all x , if x is a cube and there is an element y such that x is in back of y , then x is small"
8,GGC,"¬ ∀ x ∀ y ¬ ( Cube ( x ) ∧ Tet ( y ) ∧ Larger ( x , y ) )","it is not the case that for all x , for all y , it is not the case that x is a cube , y is a tetrahedron and x is larger than y"
9,GGC,"∃ x ( Cube ( x ) ∧ Large ( x ) ∧ ¬ ∃ z ( Dodec ( z ) ∧ ¬ BackOf ( z , x ) ) )","there is an element x such that x is a cube , x is large and it is not the case that there is a dodecahedron z such that z is not in back of x"
10,RG,"∀ x ( Large ( a ) → ∀ x SameShape ( b , b ) )","for all x , if a is large , then for all x , b is of the same shape as itself"
11,RG,∃ x ∃ y ( Prime ( a ) ∨ Tet ( a ) ),there is an element x such that there is an element y such that a is a prime or a is a tetrahedron
12,RG,"¬ ( ( LeftOf ( a , b ) ∨ Smaller ( b , b ) ) → ( LeftOf ( a , b ) → SameShape ( a , c ) ) )","it is not the case that if a is to the left of b or b is smaller than itself , then if a is to the left of b , then a is of the same shape as c"
13,RG,"∀ x FrontOf ( x , a )","for all x , x is in front of a"
14,RG,"( RightOf ( a , a ) ∨ ( Medium ( b ) ∨ Medium ( c ) ) ) ∧ ¬ ( Smaller ( d , e ) ∧ Student ( b ) )","all these hold : \n\t• a is to the right of itself , b is medium or c is medium \n\t• it is not the case that d is smaller than e and b is a student"
15,RG,"∃ x ∀ x ( Cube ( a ) → SameSize ( x , b ) )","there is an element x such that for all x , if a is a cube , then x is of the same size as b"
16,RG,∃ x ∀ x ¬ Large ( a ),"there is an element x such that for all x , a is not large"
17,RG,"∃ x ( ∀ y Tet ( a ) ∧ ( SameRow ( b , a ) ∨ Student ( x ) ) )","there is an element x such that all these hold : \n\t• for all y , a is a tetrahedron \n\t• b is in the same row as a or x is a student"
18,RG,"∀ x ( SameSize ( x , x ) ∧ Dodec ( a ) )","for all x , x is of the same size as itself and a is a dodecahedron"
19,RG,"∀ x ¬ Medium ( x ) → ( ∃ y Prime ( a ) ∨ ( FrontOf ( a , a ) ∨ LeftOf ( b , a ) ) )","if for all x , x is not medium , then there is an element y such that a is a prime , a is in front of itself or b is to the left of a"
20,Filler,"¬ ∃ x ( SameShape ( a , b ) → SameRow ( c , c ) )",it is not the case that there is an element x such that a is in the same shape as b and c is in the same row as itself
21,Filler,∀ x ( Tet ( x ) ∨ Prime ( a ) ) ∨ ∃ x ( Person ( x ) → Student ( a ) ),"for all x , x is a tetrahedron or a is a prime or there is an element x such that a is a student"
22,Filler,"∃ x ∀ y Larger ( x , a ) ∧ ∀ y ¬ Pet ( b )","there is an element x such that for all y , x is larger than a and there is an element x such that for all y , b is not a pet"
23,Filler,"∃ x ( ( ( SameShape ( x , a ) ∧ Tet ( x ) ) → Adjoins ( x , a ) )","for all x , if x is of the same shape as a, then x is adjacent to a"
24,Filler,"∃ x Cube ( x ) ( Person ( a ) → Adjoins ( x , a ) )",there is a cube such that a is a person or x is adjacent to a
