,Latex formula,English translation 1,English translation 2,English translation 3,English translation 4,English translation 5,English translation 6,English translation 7,English translation 8,English translation 9,English translation 10
0,a \in cube,a is a cube,0,0,0,0,0,0,0,0,0
1,\smaller { b } { a },b is smaller than a,0,0,0,0,0,0,0,0,0
2,\large { d },d is large,0,0,0,0,0,0,0,0,0
3,\larger { e } { a },e is larger than a,0,0,0,0,0,0,0,0,0
4,b \in tetrahedron,b is a tetahedron,0,0,0,0,0,0,0,0,0
5,e \in dodec,e is a dodecagon,0,0,0,0,0,0,0,0,0
6,\rightOf { e } { b },e is right of b,0,0,0,0,0,0,0,0,0
7,\smaller { a } { e },a is smaller than e,0,0,0,0,0,0,0,0,0
8,\backOf { d } { a },d is in back of a,0,0,0,0,0,0,0,0,0
9,\sameRow { b } { d },b is in the same row as d,0,0,0,0,0,0,0,0,0
10,\sameSize { b } { c },b is the same size as c,0,0,0,0,0,0,0,0,0
11,\larger { a } { b },a is larger than b,0,0,0,0,0,0,0,0,0
12,\sameRow { d } { b },d is in the same row as b,0,0,0,0,0,0,0,0,0
13,\sameSize { c } { b },c is the same size as b,0,0,0,0,0,0,0,0,0
14,max \in student,max is a student,0,0,0,0,0,0,0,0,0
15,\frontOf { a } { d },a is in front of d,0,0,0,0,0,0,0,0,0
16,\leftOf { b } { e },b is left of e,0,0,0,0,0,0,0,0,0
17,( \smaller { b } { a } ) \vee ( \larger { a } { b } ),b is smaller than a or a is larger than b,0,0,0,0,0,0,0,0,0
18,( \larger { e } { a } ) \vee ( \smaller { a } { e } ),e is larger than a or a is smaller than e,0,0,0,0,0,0,0,0,0
19,( \rightOf { e } { b } ) \vee ( \leftOf { b } { e } ),e is right of b or b is left of e,0,0,0,0,0,0,0,0,0
20,( \smaller { a } { e } ) \vee ( \larger { e } { a } ),a is smaller than e or e is larger than a,0,0,0,0,0,0,0,0,0
21,( \backOf { d } { a } ) \vee ( \frontOf { a } { d } ),d is in back of a or a is in front of d,0,0,0,0,0,0,0,0,0
