,Source language,Translation 1,Translation 2,Translation 3,Translation 4,Translation 5
0,Cube ( a ),a is a cube,0,0,0,0
1,"Smaller ( b , a )",b is smaller than a,0,0,0,0
2,Large ( d ),d is large,0,0,0,0
3,"Larger ( e , a )",e is larger than a,0,0,0,0
4,Tet ( b ),b is a tetrahedron,0,0,0,0
5,Dodec ( e ),e is a dodecahedron,0,0,0,0
6,"RightOf ( e , b )",e is to the right of b,0,0,0,0
7,"Smaller ( a , e )",a is smaller than e,0,0,0,0
8,"BackOf ( d , a )",d is in back of a,0,0,0,0
9,"SameRow ( b , d )",b is in the same row as d,0,0,0,0
10,"SameSize ( b , c )",b is of the same size as c,0,0,0,0
11,"Larger ( a , b )",a is larger than b,0,0,0,0
12,"SameRow ( d , b )",d is in the same row as b,0,0,0,0
13,"SameSize ( c , b )",c is of the same size as b,0,0,0,0
14,Student ( max ),max is a student,0,0,0,0
15,"FrontOf ( a , d )",a is in front of d,0,0,0,0
16,"LeftOf ( b , e )",b is to the left of e,0,0,0,0
17,"Smaller ( b , a ) | Larger ( a , b )",b is smaller than a or a is larger than b,0,0,0,0
18,"Larger ( e , a ) | Smaller ( a , e )",e is larger than a or a is smaller than e,0,0,0,0
19,"RightOf ( e , b ) | LeftOf ( b , e )",e is to the right of b or b is to the left of e,0,0,0,0
20,"Smaller ( a , e ) | Larger ( e , a )",a is smaller than e or e is larger than a,0,0,0,0
21,"BackOf ( d , a ) | FrontOf ( a , d )",d is in back of a or a is in front of d,0,0,0,0
22,"SameSize ( d , e )",d is of the same size as e,0,0,0,0
23,"@ x @ y ( ( Small ( x ) & Large ( y ) ) $ FrontOf ( x , y ) )","for all x , for all y , if x is small and y is large , then x is in front of y",0,0,0,0
24,"/ x / y ( Cube ( x ) & Tet ( y ) & Larger ( x , y ) )","there is an element x such that there is an element y such that x is a cube , y is a tetrahedron and x is larger than y",0,0,0,0
25,"@ x @ y ( ( Cube ( x ) & Cube ( y ) ) $ SameCol ( x , y ) )","for all x , for all y , if x is a cube and y is a cube , then x is in the same column as y",0,0,0,0
26,"~ @ x @ y ( ( Tet ( x ) & Tet ( y ) ) $ SameCol ( x , y ) )","it is not the case that for all x , for all y , if x is a tetrahedron and y is a tetrahedron , then x is in the same column as y",0,0,0,0
27,~ ~ Large ( d ),it is not the case that d is not large,0,0,0,0
28,Dodec ( e ) | ( @ x Tet ( x ) & ~ @ x Tet ( x ) ),"at least one of these holds : \item e is a dodecahedron \item for all x , x is a tetrahedron and it is not the case that for all x , x is a tetrahedron",0,0,0,0
29,"@ x @ y ( ( Cube ( x ) & FrontOf ( y , x ) ) $ Small ( x ) )","for all x , for all y , if x is a cube and y is in front of x , then x is small",0,0,0,0
30,"@ x @ y ( ( Cube ( x ) & Dodec ( y ) & BackOf ( x , y ) ) $ Smaller ( x , y ) )","for all x , for all y , if x is a cube , y is a dodecahedron and x is in back of y , then x is smaller than y",0,0,0,0
31,@ x ( Cube ( x ) $ Small ( x ) ),every cube is small,0,0,0,0
32,"@ x ( ( Cube ( x ) & Small ( x ) ) $ RightOf ( x , a ) )","for all x , if x is a cube and x is small , then x is to the right of a",0,0,0,0
33,"@ x ( Dodec ( x ) $ LeftOf ( a , x ) )",a is to the left of every dodecahedron,0,0,0,0
34,"@ x ( ( Tet ( x ) & Medium ( x ) ) $ FrontOf ( x , b ) )","for all x , if x is a tetrahedron and x is medium , then x is in front of b",0,0,0,0
35,"@ x ( Cube ( x ) $ ( FrontOf ( x , b ) | BackOf ( x , a ) ) )",every cube is in front of b or in back of a,0,0,0,0
36,"@ x ( Cube ( x ) $ ( RightOf ( x , a ) & LeftOf ( x , b ) ) )",every cube is to the right of a and to the left of b,0,0,0,0
37,@ x ( Tet ( x ) $ Small ( x ) ),every tetrahedron is small,0,0,0,0
38,/ x Cube ( x ),there is an element x such that x is a cube,0,0,0,0
39,"~ FrontOf ( f , a )",f is not in front of a,0,0,0,0
40,"RightOf ( f , a ) & LeftOf ( f , b )",f is to the right of a and to the left of b,0,0,0,0
41,"BackOf ( f , a ) | Smaller ( f , a )",f is in back of a or smaller than a,0,0,0,0
42,"~ ( Larger ( e , c ) | Larger ( d , c ) )",it is not the case that e or d is larger than c,0,0,0,0
43,"Smaller ( c , a ) & Larger ( c , e )",c is smaller than a and larger than e,0,0,0,0
44,"FrontOf ( c , f ) & Smaller ( c , f )",c is in front of f and smaller than f,0,0,0,0
45,"SameRow ( b , a ) & ~ SameCol ( b , f )",b is in the same row as a and b is not in the same column as f,0,0,0,0
46,"~ ( SameCol ( e , c ) | SameCol ( e , d ) )",it is not the case that e is in the same column as c or in the same column as d,0,0,0,0
47,"~ Larger ( e , c ) & ~ Larger ( d , c )",e is not larger than c and d is not larger than c,0,0,0,0
48,"~ Larger ( e , d ) & ~ Smaller ( e , d )",e is not larger than d and e is not smaller than d,0,0,0,0
49,"~ SameCol ( e , c ) & ~ SameCol ( e , d )",e is not in the same column as c and e is not in the same column as d,0,0,0,0
50,"~ ( Larger ( e , d ) | Smaller ( e , d ) )",it is not the case that e is larger than d or smaller than d,0,0,0,0
51,"~ Smaller ( e , d ) & ~ Larger ( e , d )",e is not smaller than d and e is not larger than d,0,0,0,0
52,"SameSize ( e , d )",e is of the same size as d,0,0,0,0
53,"Smaller ( c , f ) & FrontOf ( c , f )",c is smaller than f and in front of f,0,0,0,0
54,"~ ( SameCol ( c , e ) | SameCol ( d , e ) )",it is not the case that c or d is in the same column as e,0,0,0,0
55,"RightOf ( f , a ) & RightOf ( b , f )",f is to the right of a and b is to the right of f,0,0,0,0
56,"Smaller ( c , a ) & Smaller ( e , c )",c is smaller than a and e is smaller than c,0,0,0,0
57,"~ SameCol ( e , d ) & ~ SameCol ( e , c )",e is not in the same column as d and e is not in the same column as c,0,0,0,0
58,"Smaller ( f , a ) | BackOf ( f , a )",f is smaller than a or in back of a,0,0,0,0
59,"~ SameCol ( c , e ) & ~ SameCol ( d , e )",c is not in the same column as e and d is not in the same column as e,0,0,0,0
60,"~ ( Larger ( e , d ) | Larger ( d , e ) )",it is not the case that e is larger than d or d is larger than e,0,0,0,0
61,"~ ( SameCol ( e , d ) | SameCol ( e , c ) )",it is not the case that e is in the same column as d or in the same column as c,0,0,0,0
62,"~ Larger ( e , d ) & ~ Larger ( d , e )",e is not larger than d and d is not larger than e,0,0,0,0
63,"Larger ( a , c ) & Larger ( c , e )",a is larger than c and c is larger than e,0,0,0,0
64,"Larger ( c , e ) & Smaller ( c , a )",c is larger than e and smaller than a,0,0,0,0
65,"LeftOf ( f , b ) & RightOf ( f , a )",f is to the left of b and to the right of a,0,0,0,0
66,"~ Larger ( d , c ) & ~ Larger ( e , c )",d is not larger than c and e is not larger than c,0,0,0,0
